PARK_NAME,PARK_STATUS,PARK_TYPE,SUB_TYPE,AREA_HECTARES,EXISTING_PARK_NO,CONSTRUCTED_YEAR,ACCESS_POINTS,COMPKEY,OBJECTID,Shape__Area,Shape__Length
THATCHER PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,VEST POCKET,0.067,154,1980,"THATCHER CRT, MONDRAGON CIR",138737,1,1278.9296875,159.984939135879
KINDLE PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,VEST POCKET,0.173,138,1980,"KINDLE CRT, ELMVALE AVE",138361,2,3321.09765625,334.178667549761
SUNCREST PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,VEST POCKET,0.37,083,1998,"SUNCREST DR, RED MAPLE DR",138724,3,7057.96484375,342.378606725947
JORGEN JENSEN PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,VEST POCKET,0.091,214,1980,"COURTLEIGH SQ, SANDALWOOD PKY E, KENNEDY RD N",138348,4,1735.49609375,178.142569129185
CONESTOGA PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.098,127,1980,"CONESTOGA DR, FANSHAWE DR",138135,5,1871.015625,179.193901045421
RC CHARLTON PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.791,526,2007,"JAMES POTTER DR, OBLATE CRES, PEFFERLAW CIR",138334,6,15118.9140625,526.024589641425
NORTH MILL PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,VEST POCKET,0.249,080,1977,MILL ST N,138478,7,4759.9375,397.80946397779
PICKARD PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,1.344,462,2006,"WITHERS WAY, ALBRIGHT RD",137991,8,25717.5703125,744.904668862827
ZION PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.013,616,1990,,138824,9,240.36328125,69.5083508574972
GARBUTT PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,VEST POCKET,0.178,027,1987,"GARBUTT CR, COX CR",138260,10,3404.07421875,250.143043949079
TODD EDWARD BAYLIS PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.667,155,1995,AURORA PL,138745,11,12782.72265625,572.977513087187
COPELAND WOODS,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,1.154,403,2007,"JAMES POTTER RD, OBLATE CRES, CHAROLAIS BLVD",204189,12,22050.5546875,661.35319028537
AMBERWOOD PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,VEST POCKET,0.134,122,1980,"AMBERWOOD SQ, CONESTOGA DR",137996,13,2548.18359375,271.079316161603
SNELGROVE RECREATION CENTRE,ACTIVE,COMMUNITY PARKS,COMMUNITY SPORTS PARK,0.811,461,1991,"HURONTARIO ST, MAPLESHADE DR",138695,14,15522.4375,516.257464321243
ARMBRO PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,1.653,064,1984,"WILLIAMS PKWY, HARRIDINE RD, ROTHERGLEN CT",138000,15,31368.62890625,733.728649507849
MARABOO PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.107,142,1980,"KINDLE CRT, SOMERSET DR, MARABOO CRT",138431,16,2053.57421875,307.855864380533
JOYCE ARCHDEKIN PARK,ACTIVE,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CONSERVATION AREA,8.498,087,1967,"MILL ST S, ELGIN DR, MAIN ST S",137998,17,162582.875,2461.97611575502
DRIFTWOOD PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,VEST POCKET,0.213,212,1985,"KENNEDY RD N, OLEANDER CRES, DRIFTWOOD CRES",138189,18,4086.80078125,279.08798972114
PENDERGAST PARK,ACTIVE,ENVIRONMENTAL PARKS,WOODLOT,5.471,364,1984,"MCVEAN RD, RYCKMAN LANE",138508,19,105092.52734375,1989.83021908029
CIVIC CENTRE,ACTIVE,OPERATIONS/ADMINISTRATION FACILITIES,OPERATIONS/ADMINISTRATION FACILITY,2.378,488,1991,"CENTRAL PARK DR, KNIGHTSBRIDGE RD",138127,20,45552.984375,903.594702250145
WIGGINS PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,1.761,286,2001,EGYPT DR,138804,21,33778.43359375,742.402318637261
TALBOT PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,1.274,084,1980,"TALBOT ST, VODDEN ST W, ENGLISH ST",138732,22,24384.46875,943.192337502787
ELDERBANK PARKETTE,ACTIVE,ENVIRONMENTAL PARKS,WOODLOT,0.057,132,1984,ELDERBANK CRT,138210,23,1091.8828125,135.383488730843
BERESFORD PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,VEST POCKET,0.158,507,2007,"CALDERSTONE RD, LYNBROOK CRES, BERESFORD CRES",138022,24,3029.6328125,224.627521187412
NANCY MCCREDIE PARK,ACTIVE,NEIGHBOURHOOD PARKS,VEST POCKET,0.457,078,1980,"NANCY MCCREDIE DR, VODDEN ST W",138470,25,8733.29296875,401.781674385334
FANSHAWE PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,3.721,133,1980,"TRAVERSTON CRT, NOTTAWASAGA CRES, FANSHAWE DR",138237,26,3651.32421875,379.034331653866
SOMERSET PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,LINK,0.056,149,1986,"SOMERSET DR, FANSHAWE DR",138700,27,1076.4375,196.048727088174
DARWIN PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,VEST POCKET,0.191,129,1980,"DARWIN PL, SHELBOURNE CRT",138168,28,3660.12109375,274.665089360142
SANDALWOOD PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,3.755,146,1980,"SANDALWOOD PKWY E, CONESTOGA DR, SUTTER AV",138671,29,173141.37890625,2518.18095410674
SMIRLE BIG TRAIN LAWSON PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,3.755,474,2008,"PANNAHILL DR, STRATHDALE RD",138694,30,14220.91015625,468.40927383618
