PARK_NAME,AREA_HECTARES,Latitude,Longitude
SUNCREST PARKETTE,0.37,43.693096,-79.790422
JORGEN JENSEN PARKETTE,0.091,43.727332,-79.791506
RC CHARLTON PARK,0.791,43.647689,-79.760273
PICKARD PARK,1.344,43.681801,-79.797636
GARBUTT PARKETTE,0.178,43.669562,-79.781612
TODD EDWARD BAYLIS PARK,0.667,43.717475,-79.799888
COPELAND WOODS,1.154,43.649084,-79.760723
ARMBRO PARK,1.653,43.694483,-79.781692
JOYCE ARCHDEKIN PARK,8.498,43.676158,-79.748408
PENDERGAST PARK,5.471,43.800565,-79.7334
CIVIC CENTRE,2.378,43.719353,-79.718578
WIGGINS PARK,1.761,43.751988,-79.76994
TALBOT PARK,1.274,43.690091,-79.777193
ELDERBANK PARKETTE,0.057,43.722512,-79.800709
BERESFORD PARKETTE,0.158,43.77476,-79.694368
NANCY MCCREDIE PARK,0.457,43.689444,-79.773805
FANSHAWE PARKETTE,3.721,43.730108,-79.800188
DARWIN PARKETTE,0.191,43.732794,-79.800466
SANDALWOOD PARK,3.755,43.722408,-79.795703
SMIRLE BIG TRAIN LAWSON PARK,3.755,43.781436,-79.683379
ENGLISH STREET PARK,1.801,43.692318,-79.772756
SUNFOREST PARKETTE,0.135,43.718793,-79.797758
CHEVAL PARKETTE,0.479,43.789713,-79.71881
CRAWLEY PARK,5.369,43.714766,-79.710884
ALOMA PARK,5.94,43.709334,-79.703868
CLARK PARK,9.782,43.713416,-79.715804
JESSIE PARK,1.807,43.676472,-79.768261
EARNIE MITCHELL PARK,0.1,43.689509,-79.756326
OSTRANDER PARK NORTH,0.165,43.650042,-79.807603
DONN REYNOLDS PARKETTE,0.402,43.691935,-79.786811
REGENTVIEW PARKETTE,0.356,43.734568,-79.797224
MEADOWLARK PARKETTE,0.07,43.651427,-79.726286
LLOYD SANDERSON PARK,1.199,43.664075,-79.773266
KINCAID PARKETTE,0.29,43.725827,-79.793097
BOVAIRD HOUSE,0.901,43.716849,-79.774849
OWLRIDGE CHANNEL,1.377,43.673833,-79.804659
VIA ROMANO PARKETTE,0.811,43.78043,-79.659871
SNELL PARKETTE,0.293,43.727429,-79.792809
CRENSHAW PARKETTE,0.214,43.719774,-79.804986
COUNTY COURT PARK,5.923,43.663315,-79.722467
ADDINGTON PARK,1.867,43.711712,-79.707075
SIR WINSTON CHURCHILL PARK,1.031,43.689137,-79.750457
KEN WHILLANS SQUARE,0.56,43.684706,-79.758966
MARTINDALE PARKETTE,0.641,43.691614,-79.780546
SOUTHWELL PARKETTE,0.11,43.718789,-79.797677
COWTON FAMILY MEADOW,3.72,43.689208,-79.791181
FLUTED POINT VALLEY,13.608,43.791627,-79.720173
HUNTLEY PARKETTE,0.152,43.719967,-79.801332
WILLIAM SHEARD PKT,0.234,43.757495,-79.733935
HUTTONVILLE PARKETTE,0.209,43.647247,-79.805845
REYNIER PARKETTE SOUTH,0.046,43.72742,-79.78643
LASCELLES PARK EXTENSION,0.154,43.723216,-79.741742
LARANDE PARK,7.398,43.721492,-79.739594
MEADOWLAND PARK,4.701,43.680811,-79.749504
KANASHIRO PARKETTE,0.8,43.776487,-79.664705
TOMMY SPRIGG PARK,1.081,43.725448,-79.717423
VODDEN PARK,0.791,43.689858,-79.774865
NORTH FLETCHERS CREEK PARK,2.755,43.679279,-79.770326
LA FRANCE PARK,2.41,43.716457,-79.749444
BEATTY-FLEMING PARK,0.763,43.680679,-79.777225
SUTTER PARKETTE,0.151,43.723637,-79.793994
ROLLINGWOOD PARK,0.674,43.642959,-79.741918
SCOTCHMERE VISTA,0.074,43.644562,-79.762746
SANDALWOOD VALLEY,2.387,43.717283,-79.79994
BELMONT PARK,1.289,43.705308,-79.708051
WEYBRIDGE PARKETTE,0.253,43.711544,-79.765521
CENTENNIAL PARK,16.605,43.686022,-79.750488
TIMBERLANE PARK,1.142,43.648466,-79.73069
ALBEMARLE PARKETTE,0.186,43.721437,-79.80366
EASTBOURNE PARK,8.377,43.724745,-79.696862
STEEPLEBUSH PARKETTE,0.602,43.759157,-79.746486
DON MINAKER PARK,1.197,43.772343,-79.671733
MARTINS GREEN PARKETTE,0.18,43.633263,-79.755192
WALTER BLATCHFORD CHANNEL,0.928,43.795116,-79.752924
CHRIS GIBSON PARK,18.792,43.682407,-79.775789
DUNBLAINE PARK,1.092,43.719456,-79.700129
LONG JOHN MCCLURE POND,2.637,43.703862,-79.825208
CENTRAL PUBLIC SCHOOL PARK,2.862,43.691298,-79.762023
NORTHWOOD PARK,1.362,43.675128,-79.778218
CHARLES F WATSON AND FAMILY GARDENS,0.366,43.671196,-79.73888
MCLOUGHLIN PARKETTE,0.321,43.689037,-79.75607
KIDD VALLEY,9.795,43.77769,-79.661078
LOUGHEED PARK,0.858,43.641958,-79.753819
WA RUSSELL PARKETTE,0.611,43.696577,-79.793202
THOMAS BOWLES VALLEY,2.948,43.760958,-79.753565
DAFOE PARKETTE,0.303,43.656843,-79.754339
VIVIANS WOOD,1.742,43.662462,-79.764606
TERRY MILLER RECREATION CENTRE,1.01,43.731318,-79.73144
REEVE PARKETTE,0.258,43.692553,-79.774766
MURRAY STREET PARK,1.732,43.699177,-79.782765
FRED KEE PARK,3.467,43.695577,-79.787304
CHAMNEY COURT PARKETTE,0.128,43.681912,-79.733422
BERKSHIRE PARKETTE,0.224,43.733042,-79.789798
TURTLE CREEK PARK,1.933,43.666467,-79.722628
MAJOR WILLIAM SHARPE PARK,4.548,43.672629,-79.783133
VERITY PARK,0.539,43.659241,-79.748609
CITY HALL,0.946,43.684672,-79.759041
JACOB SHOOK PARK,0.825,43.71296,-79.824595
MORROW PARK,0.804,43.762647,-79.760878
BLOOMINGDALE PARK,0.2,43.66268,-79.717934
MIDSUMMER POND,0.613,43.775464,-79.684283
HOMESTEAD PARK,2.828,43.687555,-79.797095
CALDERSTONE PARK,0.525,43.777526,-79.699785
ANNE NASH PARK,0.726,43.772997,-79.703698
BRIDEKIRK PARK,0.482,43.661679,-79.752401
FERN VALLEY PARKETTE,0.106,43.736671,-79.754097
CUNNINGTON PARKETTE,0.564,43.733202,-79.828406
KNIGHTSBRIDGE COMMUNITY AND SR CITIZENS' CENTRE,0.116,43.716549,-79.716867
TRELEAVEN PARK,0.631,43.676266,-79.756365
KIWANIS MEMORIAL PARK,4.112,43.668978,-79.736225
GAGE PARK,1.64,43.683256,-79.757769
KIWANIS YOUTH CENTRE FOR SPORTS EXCELLENCE,1.223,43.666966,-79.750134
KIM VALLEY,1.153,43.654978,-79.76244
ELLEN MITCHELL RECREATION CENTRE,0.607,43.733342,-79.7448
GREY WHALE PARK,0.816,43.773026,-79.746398
CUTTERS PARKETTE,0.14,43.653772,-79.763292
CAVENDISH PARK,0.406,43.712779,-79.712539
ALMOND PARK,0.628,43.797306,-79.678462
HARTFORD WAY,1.065,43.670537,-79.720358
JELLICOE PARK,0.192,43.747497,-79.725625
ERNEST MAJURY PARK,2.545,43.706266,-79.713941
PARR LAKE SOUTH PARK,4.626,43.712507,-79.741621
ERNEST AND EDITH PARR PARKETTE,0.373,43.773652,-79.708618
JAMES AND MARGARET MCGIE PARK,1.121,43.783587,-79.728803
VALLEYCREEK VISTA,0.073,43.770902,-79.700709
HOWDEN PARK,4.113,43.719317,-79.72685
YVONNE FLAKOWICZ PARK,7.286,43.728522,-79.783046
VAN SCOTT PARKETTE,1.426,43.713464,-79.813405
DUMFRIES PARKETTE,1.108,43.708482,-79.789461
HANOVER PARK,0.833,43.718901,-79.725615
GEORGE RANSIER PARK,0.819,43.725218,-79.819048
STEACY PARK,1.606,43.675268,-79.746288
BOREHAM PARK,1.226,43.734228,-79.806845
CLOVER BLOOM PARKETTE,0.294,43.753629,-79.736917
DAVENPORT PARK,0.518,43.719146,-79.692212
DALTON PARK,1.637,43.712085,-79.699789
COBBLEHILL PARK,0.874,43.772744,-79.692149
FRANK HARKEMA PARKETTE,0.783,43.707388,-79.820166
TERAMOTO PARK,16.387,43.666867,-79.784384
EVENING STARS PARK,0.423,43.77036,-79.718394
SLED DOG PARK,0.778,43.774131,-79.753222
UPPERLINKS PARKETTE,0.777,43.772017,-79.682855
GATESGILL PARK,1.849,43.700492,-79.783527
BUFFRIDGE PARKETTE,0.105,43.727001,-79.818931
WHITE SPRUCE VALLEY NORTH,0.645,43.731164,-79.774273
LASCELLES PARK NORTH,1.111,43.722024,-79.740304
HANSEN PARKETTE,0.253,43.710528,-79.763665
DOPP PARK,0.402,43.813202,-79.731249
OLD FAIRGROUNDS PARK,7.361,43.679255,-79.760098
STEELES PARK,2.911,43.66682,-79.73009
BANTING PARK,0.988,43.657878,-79.746878
DURHAM PARK,1.654,43.712116,-79.699942
BERISFORD PARK,0.647,43.673018,-79.789234
INDER HEIGHTS PARK,1.39,43.738427,-79.814895
DORSET PARK,1.293,43.716736,-79.700306
LILLINGTON CHANNEL,0.135,43.713915,-79.73645
SIEMENS,35.854,43.657044,-79.838405
ALBERT CALLAGHAN PARKETTE,0.806,43.637455,-79.758699
CAROLINE ARMINGTON VISTA,0.273,43.797995,-79.745937
SUNNY MEADOW PARKETTE,0.3,43.752973,-79.742835
HEDGELINE PARKETTE,0.79,43.688616,-79.830663
FALLEN OAK PARK,2.021,43.647916,-79.736817
FLETCHERS GREEN COMMUNITY PARK,9.317,43.654607,-79.734193
VAN KIRK CHANNEL,0.903,43.715292,-79.823118
GLENMANOR PARK,0.565,43.713006,-79.791457
LETHBRIDGE PARK,0.577,43.71976,-79.784322
DRINKWATER COMMUNITY PARK,8.483,43.656495,-79.7627
MARTINEAU VISTA,0.01,43.776465,-79.660136
CHERRYTREE PARK,1.012,43.655016,-79.725714
DISCOVERY CHANNEL,3.225,43.742313,-79.765956
MALTA PARKETTE,0.081,43.662249,-79.73301
SWEETWOOD PARKETTE,0.044,43.694238,-79.821948
CARNFORTH PARK,1.252,43.735895,-79.809085
BERRYMAN CHANNEL,0.189,43.786937,-79.730539
FIDDLERS PARKETTE,0.57,43.693984,-79.824531
CROWN VICTORIA PARKETTE,0.81,43.693281,-79.836392
MARY GOODWILLIE YOUNG PARK,0.827,43.702111,-79.834515
SHAIN VALLEY,0.593,43.706472,-79.824312
DEARBOURNE PARK,4.699,43.713553,-79.696357
WATCHMAN PARK,0.446,43.769977,-79.691051
GIFFEN FAMILY PARK,1.241,43.753115,-79.750695
CURTIS PARK,0.476,43.667141,-79.754867
WOODVIEW PARK,4.752,43.672452,-79.761416
CHUDLEIGH PARK,0.665,43.675544,-79.810653
BONNIE BRAES PARK,0.66,43.650831,-79.783349
HARRY A SHIELDS PARKETTE,0.418,43.734275,-79.760488
GLADYS AND GEORGE GRAY PARK,1.031,43.755285,-79.776549
LAUDERHILL VALLEY,5.422,43.78335,-79.750742
DORCHESTER PARK,2.592,43.718334,-79.696421
FAIRGLEN PARK,0.945,43.685064,-79.777148
THORNDALE PARK,0.877,43.780583,-79.668629
SESQUICENTENNIAL PARK,39.045,43.765711,-79.773015
KINGFISHER PARK,1.482,43.744311,-79.812076
FERRI PARKETTE,0.295,43.722119,-79.804989
BALMORAL PARK,2.718,43.708247,-79.710972
DESERT GARDEN PARK,0.778,43.685542,-79.851377
ROBERT POST PARK,1.94,43.686187,-79.847617
GREENBRIAR PARK NORTH,0.677,43.737382,-79.718881
PEEL VILLAGE GOLF COURSE,31.403,43.669146,-79.72282
FRANCIS H TAYLOR PARK,0.752,43.670512,-79.820815
MOODY FAMILY PARK,0.837,43.688247,-79.840825
DONNELLY EAST PARK,1.018,43.734706,-79.782813
KEE VALLEY,8.384,43.644518,-79.762751
FOLKSTONE PARK,1.128,43.729459,-79.704923
WALKER CHANNEL EAST,1.046,43.727247,-79.680026
FAIRHILL PARKETTE,0.763,43.684584,-79.823532
SIMPSON POND,1.148,43.717882,-79.804406
VIVIANS WOOD RECREATIONAL TRAIL,0.665,43.667461,-79.770752
CHRISTIE PARK,0.599,43.739877,-79.800145
FINLEY CHANNEL SOUTH,0.963,43.689268,-79.719349
TITAN CHANNEL,1.941,43.699515,-79.719216
WHITEWASH PARKETTE,1.374,43.684276,-79.801246
EARL COOK PARKETTE,0.79,43.691427,-79.818645
JP HUTTON PARK,0.853,43.701365,-79.824336
BELLCREST PARK,0.563,43.655688,-79.787179
KEIRSTEAD PARK,0.642,43.771778,-79.76027
OMEGA PARKETTE,0.173,43.72729,-79.79143
CRESTHAVEN PARK,1.012,43.724881,-79.822215
MCKINNEY PARKETTE,0.79,43.696818,-79.819406
HAZELWOOD PARK SOUTH,1.797,43.716998,-79.732671
TWIN FALLS PARK,0.801,43.632628,-79.778493
ANDERSON FAMILY PARK,0.741,43.760091,-79.771453
SALISBURY CIRCLE PARKETTE,0.539,43.696421,-79.760306
RUSHMORE PARKETTE,0.295,43.73238,-79.787309
BULL VALLEY,4.794,43.768749,-79.756134
LOWER THAMES PARK,0.558,43.633772,-79.795317
ENVIRONMENTAL PARK 665,0.203,43.734556,-79.804418
LILLIE ROBERTS WOODLOT,1.298,43.789827,-79.746994
MARTYNIUK PARK,0.553,43.793209,-79.719852
WALTER WATSON VISTA,0.083,43.771731,-79.689241
LARGE CHANNEL NORTH,0.67,43.712648,-79.821052
LAURELCREST PARK SOUTH,1.252,43.707161,-79.738507
JOHNSTONE PARK,0.72,43.702083,-79.808902
MATTHEW CATION PARK,0.817,43.706277,-79.829175
GOLD PARKETTE,1.091,43.701644,-79.815204
STILLMAN PARK,0.806,43.66994,-79.802408
CHINGUACOUSY LIONS CLUB WATER TOWER PARK,2.363,43.728913,-79.828629
GALVESTON CHANNEL,1.631,43.703644,-79.837558
DEXFIELD PARK,0.833,43.71198,-79.781519
BARBREH BROWN PARK,0.791,43.79184,-79.753438
NATIVE LANDING PARKETTE,1.023,43.68746,-79.804046
GLENFOREST PARK NORTH,0.738,43.7354,-79.723854
JUDGE SCOTT VALLEY,31.092,43.794058,-79.722574
LASCELLES PARK SOUTH,0.412,43.721183,-79.739543
ALEXANDER MCVEAN VISTA,0.07,43.767534,-79.694247
WJ CLIFFORD PARK,0.759,43.6777,-79.79963
RATHCLIFFE WOODS,0.96,43.79667,-79.730073
EB GRAHAM VALLEY,13.345,43.796929,-79.740155
BLUE JAY PARK,9.937,43.799336,-79.727075
BRAMPTON-MARIKINA FRIENDSHIP PARK,0.812,43.765832,-79.757573
HARTLEY CHANNEL,3.397,43.709448,-79.828324
HAWKE CHANNEL,1.684,43.79376,-79.74467
LAKE LOUISE PARKETTE,0.81,43.678885,-79.812418
BUICK PARK,0.804,43.686003,-79.847522
NORMAN PRICES CHANNEL,0.81,43.669916,-79.796138
COLONEL WILLIAM CLAUS VALLEY,16.066,43.779644,-79.733069
JESSE PERRY PARK,0.543,43.656014,-79.779001
PEARSON PARK,2.294,43.658464,-79.758698
BEACONSFIELD PARK,0.469,43.64944,-79.756705
LYNCH-PETRONI PARKETTE,0.342,43.716212,-79.741501
HOLLOWTREE PARKETTE,0.414,43.705557,-79.769045
LILLINGTON CHANNEL SOUTH,0.278,43.712746,-79.735588
PARR LAKE NORTH PARK,4.251,43.713543,-79.744047
BROOKBANK PARKETTE,0.36,43.738346,-79.798791
EDGEBROOKE PARK,0.844,43.719866,-79.704367
CLAYPINE PARK,1.122,43.706014,-79.769977
BLUE LAKE PARKETTE,0.768,43.682593,-79.807847
FLETCHERS PARKETTE,0.774,43.680577,-79.820146
WILDFIELD PARK - ST JOHN BOCCE,8.429,43.814708,-79.716407
COSMO VISTA,0.044,43.778467,-79.726081
LUCINDA PARK,0.495,43.801744,-79.743985
FLOWER CITY COMMUNITY CAMPUS,32.946,43.672166,-79.769416
VICTORIA PARK,7.994,43.705956,-79.698229
VANIER PARK,3.963,43.660495,-79.758752
JOE ASHTON POND SOUTH,2.458,43.646702,-79.780176
SUMMER VALLEY,14.51,43.737442,-79.822919
DIXIE PARKETTE,0.534,43.734027,-79.754762
WINDFLOWER VISTA,0.127,43.770807,-79.700907
TARA PARK,0.718,43.69797,-79.773612
SCOTT STREET PARKETTE,0.754,43.691496,-79.759464
CHECKERBERRY PARK WEST,0.072,43.7354,-79.770302
MOOREHEAD PARK,5.306,43.723895,-79.780171
PEDDLE WOODLOT,4.397,43.698629,-79.839197
FLETCHERS CREEK VALLEY,10.905,43.694286,-79.802376
IRONBLOCK PARK,0.82,43.721083,-79.82396
METCALFE HOLLOW,4.459,43.766458,-79.72372
JOE ASHTON VALLEY SOUTH,8.912,43.67202,-79.829519
MALDIVES CHANNEL WEST,0.258,43.774731,-79.734377
LEFLAR PARK,0.727,43.667739,-79.815796
SCARLET TANAGER WOODS,1.732,43.77007,-79.700528
CHURCHVILLE PARK NORTH,0.734,43.633839,-79.75609
CHURCHVILLE PARK SOUTH,5.649,43.632798,-79.755804
SHERIDAN WOODLANDS,6.674,43.655106,-79.752687
MORRIS KERBEL PARK,11.341,43.717047,-79.790309
MILLSTONE PARKETTE,0.433,43.646961,-79.753579
SANDALWOOD WORKS YARD,19.287,43.764746,-79.739237
BOTTOMWOOD VALLEY,2.441,43.765374,-79.717956
BRAMPTON SPORTS PARK,44.344,43.66843,-79.706786
LILLIE ROBERTS PARK,1.224,43.789541,-79.747086
CENTURY GARDENS,7.698,43.709158,-79.755055
ROSALEA PARK,2.329,43.688862,-79.759289
GREAT LAKES PARK,3.894,43.735636,-79.766485
KINGKNOLL PARK,1.665,43.653153,-79.743293
PATRICK OLEARY PARK,0.884,43.767056,-79.674871
JOSEPH LAWSON PARK,0.772,43.768617,-79.760936
DUGGAN PARK,9.049,43.695594,-79.763177
INTERMODAL CHANNEL SOUTH,2.929,43.739673,-79.664643
BOTTOMWOOD PARK,0.863,43.763331,-79.717299
BRISTOL WAY,0.647,43.695624,-79.817787
JAYFIELD PARK,2.205,43.741799,-79.723406
DAVENFIELD VALLEY,6.136,43.776424,-79.659757
MAHAFFY PARK,0.769,43.666157,-79.796225
STEPHEN LLEWELLYN RECREATIONAL TRAIL WEST,6.032,43.762381,-79.746234
STARLING VALLEY,0.976,43.762307,-79.767299
CHESHAM PARKETTE,1.289,43.738411,-79.810233
CARLETON PARK,4.904,43.706204,-79.721493
TREELINE POND,0.88,43.780537,-79.734518
GORE VALLEY,5.205,43.77704,-79.67299
ELDORADO PARK,21.667,43.647402,-79.779873
TILLACOUTRY PARK,0.857,43.692488,-79.845887
JAMES AND EDNA DAVIS PARK,0.747,43.67686,-79.803504
SIMON GRANT PONDS,6.542,43.744006,-79.660266
SHERIDAN PARKETTE,0.386,43.694165,-79.757268
BIRCHBANK PARK,1.542,43.701585,-79.708957
SEAPINES PARK,0.527,43.627622,-79.765201
THACKERAY VALLEY,3.569,43.699831,-79.803726
MAPLEHURST PARKETTE,0.26,43.727402,-79.786433
NOTRE DAME PARK,0.78,43.719596,-79.777877
HOCKLEY PATH PARKETTE,0.116,43.714681,-79.771769
STAFFORD WOODS,5.158,43.728801,-79.809962
CHARTERS ROAD PARK,0.413,43.705337,-79.75696
SEABORN PARK,1.725,43.707459,-79.748092
BAYRIDGE PARK,0.982,43.76779,-79.712598
ARTHUR SHAW CHANNEL,3.244,43.774681,-79.756899
MIDAIR CHANNEL,1.124,43.73953,-79.665001
PICASSO PARK,0.695,43.788708,-79.665748
BLACK FOREST PARK NORTH,1.674,43.788708,-79.665748
LUONGO PARK,0.744,43.651651,-79.806158
CRESCENT HILL PARK,6.639,43.722341,-79.733545
WATSON VALLEY,11.95,43.727808,-79.806469
ELGIN WOODS PARK,5.505,43.670269,-79.740569
BILL BURRELL VALLEY,5.316,43.776487,-79.72643
GLADSTONE-SHAW PARK,0.65,43.788652,-79.727773
SCOTTSDALE PARKETTE NORTH,0.057,43.675709,-79.724182
FRED KEE CHANNEL,2.397,43.693314,-79.782306
MADOC PARK,1.573,43.702548,-79.750751
IVY BRIDGE PARKETTE,0.498,43.710855,-79.760276
AMERICAN WOODCOCK VALLEY,3.931,43.79254,-79.739812
CHINGUACOUSY SANDALWOOD COMMUNITY PARK,11.164,43.697634,-79.8282
SPEARHEAD VISTA,0.271,43.793338,-79.742005
FRANCIS BRANSBY WOODS,4.532,43.634829,-79.771531
GLENBROOK VALLEY,1.408,43.785421,-79.707047
MIDSUMMER PARK,0.469,43.776143,-79.686129
PEELTON PARK,7.448,43.659242,-79.746043
KEN WHILLANS DRIVE PARK,3.234,43.693194,-79.761908
WESTCHESTER PARK,1.714,43.669974,-79.72686
JEFFERSON PARK,6.789,43.741535,-79.7317
DONWOODS PARKETTE,0.054,43.784219,-79.745834
WYNVIEW PARK,0.599,43.788816,-79.670958
THOMAS ANDERSON POND,1.363,43.641864,-79.751512
HAVELOCK RETENTION FACILITY,1.499,43.660846,-79.719632
ODLUM POND,1.472,43.777543,-79.743253
WHEATFIELD POND,1.845,43.775361,-79.74058
HILLDALE PARK NORTH,6.284,43.729046,-79.733202
NEVILLE-LAKE PARK,3.392,43.711519,-79.765857
MAYBECK PARKETTE,0.803,43.662441,-79.799132
RICHVALE PARK,12.163,43.732552,-79.793669
DONALD M GORDON CHINGUACOUSY PARK,40.133,43.725804,-79.722263
MAXWELL AND LOIS RICE PARK,1.206,43.657986,-79.804571
SLEIGHTHOLME PARK,0.724,43.792572,-79.684884
EZARD PARK,3.735,43.785453,-79.711862
MOSSWOOD PARK,4.239,43.718584,-79.769959
DONNELLY PARK,2.945,43.731374,-79.782935
ASTORVILLE PARKETTE,0.15,43.72802,-79.787957
LIGHTCATCHER PARK,0.703,43.794857,-79.667638
BORGSTROM VALLEY,9.563,43.637936,-79.767478
WEIDMAN AND HART CHANNEL,1.517,43.703705,-79.825051
TREELINE PARK,2.123,43.778468,-79.735067
MALDIVES POND,1.583,43.776929,-79.730223
MAGGIE POND,1.603,43.778366,-79.726213
UPPER MIMICO POND,5.866,43.742197,-79.703251
LINFOOT POND,2.221,43.762853,-79.708948
RAINES FAMILY POND,1.719,43.789146,-79.74457
