,PARK_NAME,PARK_TYPE,SUB_TYPE,AREA_HECTARES,ACCESS_POINTS
0,THATCHER PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.067,"THATCHER CRT, MONDRAGON CIR"
1,KINDLE PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.17300000000000001,"KINDLE CRT, ELMVALE AVE"
2,SUNCREST PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.37,"SUNCREST DR, RED MAPLE DR"
3,JORGEN JENSEN PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.091,"COURTLEIGH SQ, SANDALWOOD PKY E, KENNEDY RD N"
4,CONESTOGA PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.098,"CONESTOGA DR, FANSHAWE DR"
5,RC CHARLTON PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.7909999999999999,"JAMES POTTER DR, OBLATE CRES, PEFFERLAW CIR"
6,NORTH MILL PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.249,MILL ST N
7,PICKARD PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.344,"WITHERS WAY, ALBRIGHT RD"
8,ZION PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.013000000000000001,
9,GARBUTT PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.17800000000000002,"GARBUTT CR, COX CR"
10,TODD EDWARD BAYLIS PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.667,AURORA PL
11,COPELAND WOODS,ENVIRONMENTAL PARKS,VALLEY,1.1540000000000001,"JAMES POTTER RD, OBLATE CRES, CHAROLAIS BLVD"
12,AMBERWOOD PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.134,"AMBERWOOD SQ, CONESTOGA DR"
13,SNELGROVE RECREATION CENTRE,COMMUNITY PARKS,COMMUNITY SPORTS PARK,0.8109999999999999,"HURONTARIO ST, MAPLESHADE DR"
14,ARMBRO PARK,NEIGHBOURHOOD PARKS,LOCAL,1.653,"WILLIAMS PKWY, HARRIDINE RD, ROTHERGLEN CT"
15,MARABOO PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.107,"KINDLE CRT, SOMERSET DR, MARABOO CRT"
